,index,Unnamed: 0,Unnamed: 0.1,Name,EX,EW,Subtotal (EX+EW),CR(PE),CR(PEW),Subtotal (EX+EW+ CR(PE)+CR(PEW)),CR,EN,VU,Subtotal (threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total,species,CODE
191,764,764,191,Gambia,0,0,0,0,0,0,16,23,50,89,0,48,"1,551",112,"1,800",animal,GMB
192,768,768,192,Ghana,0,0,0,2,0,2,27,35,79,141,0,76,"2,157",132,"2,506",animal,GHA
193,772,772,193,Guinea,0,0,0,1,0,1,21,58,101,180,0,75,"2,061",148,"2,464",animal,GIN
194,776,776,194,Guinea-Bissau,0,0,0,0,0,0,13,22,50,85,0,45,"1,522",111,"1,763",animal,GNB
195,780,780,195,Kenya,2,0,2,18,0,20,56,70,160,286,2,181,"3,388",243,"4,102",animal,KEN
196,784,784,196,Lesotho,0,0,0,0,0,0,0,8,8,16,0,19,423,3,461,animal,LSO
197,788,788,197,Liberia,0,0,0,2,0,2,22,43,74,139,0,68,"1,809",128,"2,144",animal,LBR
198,793,793,198,Madagascar,13,0,13,9,0,22,150,318,321,789,2,284,"2,391",433,"3,912",animal,MDG
199,796,796,199,Malawi,1,0,1,5,0,6,28,28,35,91,0,66,"1,569",59,"1,786",animal,MWI
200,800,800,200,Mali,0,1,1,0,0,1,7,12,24,43,0,21,986,13,"1,064",animal,MLI
201,804,804,201,Mauritania,0,1,1,0,0,1,15,28,61,104,0,52,"1,449",119,"1,725",animal,MRT
202,808,808,202,Mauritius,44,0,44,1,0,45,19,43,124,186,2,117,"1,485",139,"1,973",animal,MUS
203,812,812,203,Mayotte,5,0,5,0,0,5,2,18,83,103,0,110,"1,208",59,"1,485",animal,MYT
204,816,816,204,Mozambique,1,0,1,2,0,3,22,63,151,236,2,187,"3,344",223,"3,993",animal,MOZ
205,820,820,205,Namibia,1,0,1,0,0,1,10,33,55,98,0,53,"1,930",96,"2,178",animal,NAM
206,824,824,206,Niger,0,1,1,0,0,1,6,11,20,37,0,19,733,7,797,animal,NER
